date,part_id,sex,time,weather,irrad_a,irrad_b,distance_m,treatment,colour,lightness,order,side,detected
5/5/2017,p2,f,13.1,ps,NA,NA,4,GL,G,low,1,right,0
5/5/2017,p2,f,13.1,ps,NA,NA,5,YL,Y,low,2,right,0
5/5/2017,p2,f,13.1,ps,NA,NA,3,BL,B,low,3,right,1
5/5/2017,p2,f,13.1,ps,NA,NA,4,YL,Y,low,4,right,0
5/5/2017,p2,f,13.1,ps,NA,NA,2,B,B,high,5,right,0
5/5/2017,p2,f,13.1,ps,NA,NA,5,G,G,high,6,right,1
5/5/2017,p2,f,13.1,ps,NA,NA,3,Y,Y,high,7,right,0
5/5/2017,p2,f,13.1,ps,NA,NA,5,GL,G,low,8,right,0
5/5/2017,p2,f,13.1,ps,NA,NA,5,C,C,high,9,right,0
5/5/2017,p2,f,13.1,ps,NA,NA,2,Y,Y,high,10,right,1
5/5/2017,p2,f,13.1,ps,NA,NA,3,G,G,high,11,right,1
5/5/2017,p2,f,13.1,ps,NA,NA,2,BL,B,low,12,right,1
5/5/2017,p2,f,13.1,ps,NA,NA,3,YL,Y,low,13,right,1
5/5/2017,p2,f,13.1,ps,NA,NA,5,B,B,high,14,right,0
5/5/2017,p2,f,13.1,ps,NA,NA,2,GL,G,low,15,right,1
5/5/2017,p2,f,13.1,ps,NA,NA,4,BL,B,low,16,right,1
5/5/2017,p2,f,13.1,ps,NA,NA,2,C,C,high,17,right,0
5/5/2017,p2,f,13.1,ps,NA,NA,3,B,B,high,18,right,1
5/5/2017,p2,f,13.1,ps,NA,NA,2,YL,Y,low,19,right,1
5/5/2017,p2,f,13.1,ps,NA,NA,4,G,G,high,20,right,1
5/5/2017,p2,f,13.1,ps,NA,NA,5,BL,B,low,21,right,1
5/5/2017,p2,f,13.1,ps,NA,NA,3,C,C,high,22,right,0
5/5/2017,p2,f,13.1,ps,NA,NA,5,Y,Y,high,23,right,0
5/5/2017,p2,f,13.1,ps,NA,NA,4,B,B,high,24,right,1
5/5/2017,p2,f,13.1,ps,NA,NA,2,G,G,high,25,right,0
5/5/2017,p2,f,13.1,ps,NA,NA,4,C,C,high,26,right,0
5/5/2017,p2,f,13.1,ps,NA,NA,4,Y,Y,high,27,right,0
5/5/2017,p2,f,13.1,ps,NA,NA,3,GL,G,low,28,right,0
5/5/2017,p3,f,13.17,ps,NA,NA,4,GL,G,low,1,right,0
5/5/2017,p3,f,13.17,ps,NA,NA,5,YL,Y,low,2,right,0
5/5/2017,p3,f,13.17,ps,NA,NA,3,BL,B,low,3,right,1
5/5/2017,p3,f,13.17,ps,NA,NA,4,YL,Y,low,4,right,0
5/5/2017,p3,f,13.17,ps,NA,NA,2,B,B,high,5,right,1
5/5/2017,p3,f,13.17,ps,NA,NA,5,G,G,high,6,right,0
5/5/2017,p3,f,13.17,ps,NA,NA,3,Y,Y,high,7,right,1
5/5/2017,p3,f,13.17,ps,NA,NA,5,GL,G,low,8,right,0
5/5/2017,p3,f,13.17,ps,NA,NA,5,C,C,high,9,right,0
