wl,GL,G,BL,B,YL,Y,C,bkg
179.74,0,0,0,0,0,0,0,0
179.95,0,0,0,0,0,0,0,0
180.16,0,0,0,0,0,0,0,0
180.37,103.226,109.677,-877.778,-444.444,-217.857,-68.571,224,19.355
180.59,100,89.474,80.556,-52.778,-9.091,25,-238.889,-250
180.8,44.737,80.263,28.947,-126.316,130.38,200,138.71,55.556
181.01,-542.857,35.714,138.462,546.154,20.93,9.859,267.857,320
181.22,-578.571,-257.143,55.814,158.14,19.481,253.846,-32.258,106.25
181.43,158.065,54.839,960,-120,385.714,96.774,-77.922,-47.826
181.64,100,25,-371.429,128.571,115.789,139.655,84.615,-215.873
181.86,124.661,130.09,149.462,265.591,130.833,1128.571,2130.769,575.568
182.07,151.247,111.911,278.571,300,134.36,-1017.778,9175,641.104
182.28,142.982,89.693,-1045.455,-790.909,130.919,554.545,3308.889,1147.475
182.49,140.588,86.275,-1200,-906.667,109.668,503.15,1253.435,-12700
182.7,154.731,77.749,1923.529,1300,132.517,294.538,923.37,14900
182.91,141.015,83.087,-106.081,-172.297,120.848,229.091,842.5,3686.667
183.13,148.5,89.5,-3644.444,-2955.556,100.772,272.642,910.938,1353.488
183.34,207.468,79.87,16200,11050,108.578,193.38,990.123,855.797
183.55,160.1,74.813,490.476,365.079,110.377,156.667,914.439,1763.333
183.76,169.66,83.738,580.328,429.508,109.657,153.024,705.907,674.534
183.97,224.768,99.071,341.176,240.196,110.51,144.016,1016.071,433.333
184.18,307.531,110.46,1119.231,800,115.27,157.906,953.977,1196.97
184.4,282.334,101.262,2200,840,116.41,145.167,548.521,-27766.667
184.61,518.243,150,-416.327,18.367,126.138,177.65,701.158,938.947
184.82,528.689,151.639,206.25,-36.607,129.677,196.755,934.01,1824.444
185.03,1219.149,429.787,154.331,-103.15,140.428,132.153,1652.577,-7390.909
185.24,584.211,263.158,180.851,-214.894,151.007,152.025,1877.907,1286.364
185.45,329.461,152.697,179.245,-171.698,183.943,136.236,82400,-877.528
185.66,350,226.768,497.5,-632.5,166.82,146.726,1954.023,-3328
185.88,269.141,187.109,-1892.857,2650,136.782,137.432,2480,2006.818
186.09,332.719,193.088,-556.364,540,141.99,135.04,1526.724,763.333
186.3,468.944,233.54,-230.973,261.947,118.182,166.54,1182.313,744.444
186.51,314.729,229.457,-434.848,136.364,125.486,159.066,663.929,473.709
186.72,315,278.182,-456.14,150.877,128.554,243.75,1126.036,376.316
186.93,1140,1049.091,640,-114.545,161.884,420.952,2449.315,280.615
187.14,1402.174,1450,-1950,1194.444,160.161,487.5,-1931.325,246.563
187.36,3340.909,2922.727,384.8,-114.4,152.664,-351.563,-3634.694,259.39
187.57,-760,-580,607.812,-320.312,191.725,-362,-10141.176,265.702
187.78,1442.308,1246.154,-1300,720.588,165.451,-292.857,-3322.222,305.61
